Tournament,Year,Date,Location,Division,DivisionTier,Place,Award,GlasswareType,Team,Player1,Player2
"USAR West Regionals Hosted by California Roundnet","2024","2024-02-24","Los Angeles, CA, US","2.0-3.0 Open Intermediate","Lower Division (Medals)",2,"🥈 Silver Medal","None","Setters of Catan","donhau la","Ashley Ngo"
"USAR West Regionals Hosted by California Roundnet","2024","2024-02-24","Los Angeles, CA, US","2.0-3.0 Open Intermediate","Lower Division (Medals)",3,"🥉 Bronze Medal","None","Double Doofs","Emily Okabe","Brandon Ann"
"USAR West Regionals Hosted by California Roundnet","2024","2024-02-24","Los Angeles, CA, US","2.0-3.0 Open Intermediate","Lower Division (Medals)",4,"4th Place (No Award)","None","da best","Ryan Tiggelaar","Kyle Dent"
"USAR East Regionals hosted by Greater Washington Roundnet","2024","2024-03-02","Columbia, MD, US","2.0-3.0 Open Intermediate / Matinee","Lower Division (Medals)",1,"🥇 Gold Medal","None","Aceholes","Aidan Michael","Gregory Conley"
"USAR East Regionals hosted by Greater Washington Roundnet","2024","2024-03-02","Columbia, MD, US","2.0-3.0 Open Intermediate / Matinee","Lower Division (Medals)",2,"🥈 Silver Medal","None","Lana and Liv","Lana Ung","Olivia Leach"
"USAR East Regionals hosted by Greater Washington Roundnet","2024","2024-03-02","Columbia, MD, US","2.0-3.0 Open Intermediate / Matinee","Lower Division (Medals)",3,"🥉 Bronze Medal","None","dookes","Brandon Sheehan","Madeleine Ngo"
"USAR East Regionals hosted by Greater Washington Roundnet","2024","2024-03-02","Columbia, MD, US","2.0-3.0 Open Intermediate / Matinee","Lower Division (Medals)",4,"4th Place (No Award)","None","Big doggy joe","Joseph Yu","Luke Faircloth"
"USAR East Regionals hosted by Greater Washington Roundnet","2024","2024-03-02","Columbia, MD, US","4.0 Open","Lower Division (Medals)",1,"🥇 Gold Medal","None","Zra Dog","Anthony Rentsch","Ezra Dantowitz"
"USAR East Regionals hosted by Greater Washington Roundnet","2024","2024-03-02","Columbia, MD, US","4.0 Open","Lower Division (Medals)",2,"🥈 Silver Medal","None","The Sandwich extra pickles","Logan Coffelt","Brian Perlson"
"USAR East Regionals hosted by Greater Washington Roundnet","2024","2024-03-02","Columbia, MD, US","4.0 Open","Lower Division (Medals)",3,"🥉 Bronze Medal","None","Congressional Claps","Brandon Fung","Nico Lussier"
"USAR East Regionals hosted by Greater Washington Roundnet","2024","2024-03-02","Columbia, MD, US","4.0 Open","Lower Division (Medals)",4,"4th Place (No Award)","None","804 szn","Brooks Weeks","Daniel Reynolds"
"USAR East Regionals hosted by Greater Washington Roundnet","2024","2024-03-02","Columbia, MD, US","4.0+ Women's","Lower Division (Medals)",1,"🥇 Gold Medal","None","Tile Swap","Sarah Allen","Julia Timan"
"USAR East Regionals hosted by Greater Washington Roundnet","2024","2024-03-02","Columbia, MD, US","4.0+ Women's","Lower Division (Medals)",2,"🥈 Silver Medal","None","freshest off the boat","Katheleen Phan","Stef Ding"
"USAR East Regionals hosted by Greater Washington Roundnet","2024","2024-03-02","Columbia, MD, US","4.0+ Women's","Lower Division (Medals)",3,"🥉 Bronze Medal","None","Diving Hitters Club","Joelle Nguyen","Malia Wanderer"
"USAR East Regionals hosted by Greater Washington Roundnet","2024","2024-03-02","Columbia, MD, US","4.0+ Women's","Lower Division (Medals)",4,"4th Place (No Award)","None","Goofy Goobers","Alyssa Drain","Katrina Gabriella"
"USAR East Regionals hosted by Greater Washington Roundnet","2024","2024-03-02","Columbia, MD, US","5.0+ Open","Lower Division (Medals)",1,"🥇 Gold Medal","None","Sparky Sparky Boom Men","Sunny Gu","Connor Nelson"
"USAR East Regionals hosted by Greater Washington Roundnet","2024","2024-03-02","Columbia, MD, US","5.0+ Open","Lower Division (Medals)",2,"🥈 Silver Medal","None","Rogue","Thomas Hamilton","Ryan Marino"
"USAR East Regionals hosted by Greater Washington Roundnet","2024","2024-03-02","Columbia, MD, US","5.0+ Open","Lower Division (Medals)",3,"🥉 Bronze Medal","None","Mermaid Sparkle","Christian Bennett","Noah Luskus"
"USAR East Regionals hosted by Greater Washington Roundnet","2024","2024-03-02","Columbia, MD, US","5.0+ Open","Lower Division (Medals)",4,"4th Place (No Award)","None","Coffin Flop","Matthew Cole","Ryan Gross"
"USAR South Regionals hosted by Texas Roundnet","2024","2024-03-23","Houston, TX, US","4.0 Open","Lower Division (Medals)",1,"🥇 Gold Medal","None","Kimchi Con Queso","Pablo Riascos","Dylan Jimenez"
"USAR South Regionals hosted by Texas Roundnet","2024","2024-03-23","Houston, TX, US","4.0 Open","Lower Division (Medals)",2,"🥈 Silver Medal","None","Fuego","Sareen Patel","Ainsley Ford"
"USAR South Regionals hosted by Texas Roundnet","2024","2024-03-23","Houston, TX, US","4.0 Open","Lower Division (Medals)",3,"🥉 Bronze Medal","None","Golden Touch","Donne Su","Nakul Mody"
"USAR South Regionals hosted by Texas Roundnet","2024","2024-03-23","Houston, TX, US","4.0 Open","Lower Division (Medals)",4,"4th Place (No Award)","None","Devious Dawgs ","King-Hur Wu","Ross Lochbaum"
"USAR South Regionals hosted by Texas Roundnet","2024","2024-03-23","Houston, TX, US","5.0+ Men's","Lower Division (Medals)",1,"🥇 Gold Medal","None","Drawing Dead","Tyler Fernandez","Kieran Rose"
"USAR South Regionals hosted by Texas Roundnet","2024","2024-03-23","Houston, TX, US","5.0+ Men's","Lower Division (Medals)",2,"🥈 Silver Medal","None","Mermaid Sparkle","Christian Bennett","Noah Luskus"
"USAR South Regionals hosted by Texas Roundnet","2024","2024-03-23","Houston, TX, US","5.0+ Men's","Lower Division (Medals)",3,"🥉 Bronze Medal","None","Blessed","Cade Larson","Luke Mowry"
"USAR South Regionals hosted by Texas Roundnet","2024","2024-03-23","Houston, TX, US","5.0+ Men's","Lower Division (Medals)",4,"4th Place (No Award)","None","Double Clutch","fredric hinkle","Rahul Murthy"
"Spikeball Challenger & USAR Southeast Regionals","2024","2024-04-13","Chattanooga, TN, US","5.0+ Open","Lower Division (Medals)",1,"🥇 Gold Medal","None","V⚡️RGA","Dawson Morgan","Caleb Cummings"
"Spikeball Challenger & USAR Southeast Regionals","2024","2024-04-13","Chattanooga, TN, US","5.0+ Open","Lower Division (Medals)",2,"🥈 Silver Medal","None","Numb","Kieran Rose","Paq Clifford"
"Spikeball Challenger & USAR Southeast Regionals","2024","2024-04-13","Chattanooga, TN, US","5.0+ Open","Lower Division (Medals)",3,"🥉 Bronze Medal","None","Kingdom Come","Grant Klapwijk","Matthew Cole"
"Spikeball Challenger & USAR Southeast Regionals","2024","2024-04-13","Chattanooga, TN, US","5.0+ Open","Lower Division (Medals)",4,"4th Place (No Award)","None","Tilted","Justin Barr","Will Picone"
"Spikeball Challenger & USAR Southeast Regionals","2024","2024-04-13","Chattanooga, TN, US","4.5+ Women's","Lower Division (Medals)",1,"🥇 Gold Medal","None","Pierson/Phan","Katheleen Phan","Katie Pierson"
"Spikeball Challenger & USAR Southeast Regionals","2024","2024-04-13","Chattanooga, TN, US","4.5+ Women's","Lower Division (Medals)",2,"🥈 Silver Medal","None","Almost a Jazz Band","Sarah Allen","Shachi Patel"
"Spikeball Challenger & USAR Southeast Regionals","2024","2024-04-13","Chattanooga, TN, US","4.5+ Women's","Lower Division (Medals)",3,"🥉 Bronze Medal","None","1.5 Asians","Stef Ding","Malia Wanderer"
"Spikeball Challenger & USAR Southeast Regionals","2024","2024-04-13","Chattanooga, TN, US","4.5+ Women's","Lower Division (Medals)",4,"4th Place (No Award)","None","Hopping Frogs 🐸","Rafaela Bastos","Rachel Dolan"
"Spikeball Challenger & USAR Southeast Regionals","2024","2024-04-13","Chattanooga, TN, US","4.0 Contender","Lower Division (Medals)",1,"🥇 Gold Medal","None","Bumpin Biscuits","Jayson Rhea","Ellis Bass"
"Spikeball Challenger & USAR Southeast Regionals","2024","2024-04-13","Chattanooga, TN, US","4.0 Contender","Lower Division (Medals)",2,"🥈 Silver Medal","None","BradsDad","Josiah Sanders","Jackson Petroske"
"Spikeball Challenger & USAR Southeast Regionals","2024","2024-04-13","Chattanooga, TN, US","4.0 Contender","Lower Division (Medals)",3,"🥉 Bronze Medal","None","Weeknd Warriorz","Dakota Wheeler","Ben Landes"
"Spikeball Challenger & USAR Southeast Regionals","2024","2024-04-13","Chattanooga, TN, US","4.0 Contender","Lower Division (Medals)",4,"4th Place (No Award)","None","Torres/Eakin","Jacob Eakin","Jadon Torres"
"Spikeball Challenger & USAR Southeast Regionals","2024","2024-04-13","Chattanooga, TN, US","Mixed 4.5+","Top Tier (Glassware)",1,"🍺 Pitcher (1st Place Glassware)","Pitcher","Chalked","Katie Pierson","Kieran Rose"
"Spikeball Challenger & USAR Southeast Regionals","2024","2024-04-13","Chattanooga, TN, US","Mixed 4.5+","Top Tier (Glassware)",2,"🍻 Tankard (2nd Place Glassware)","Tankard / Cup","Rim on Two","Rafaela Bastos","Kyle Fowler"
"Spikeball Challenger & USAR Southeast Regionals","2024","2024-04-13","Chattanooga, TN, US","Mixed 4.5+","Top Tier (Glassware)",3,"🥃 Shot Glass (3rd Place Glassware)","Shot Glass / Horn","ya burnt 🔥","Stef Ding","Ryan Gross"
"Spikeball Challenger & USAR Southeast Regionals","2024","2024-04-13","Chattanooga, TN, US","Mixed 4.5+","Top Tier (Glassware)",4,"4th Place (No Award)","None","California Girls","Lucas Pruett","Malia Wanderer"
"California Roundnet Open #2 (SLO)","2024","2024-04-13","Paso Robles, CA, US","5.0 Expert","Lower Division (Medals)",1,"🥇 Gold Medal","None","Schon Siguenza","Luke Pennington","Jake Woolley"
"California Roundnet Open #2 (SLO)","2024","2024-04-13","Paso Robles, CA, US","5.0 Expert","Lower Division (Medals)",2,"🥈 Silver Medal","None","Upstairs","Josh Cain","Kyan Kornfeld"
"California Roundnet Open #2 (SLO)","2024","2024-04-13","Paso Robles, CA, US","5.0 Expert","Lower Division (Medals)",3,"🥉 Bronze Medal","None","*Groans* 😩😫","Connor Nelson","Sasha Mariniuk"
"California Roundnet Open #2 (SLO)","2024","2024-04-13","Paso Robles, CA, US","5.0 Expert","Lower Division (Medals)",4,"4th Place (No Award)","None","MUSTAAAAAAAAAAAAAAARD","Jacob Payer","Joseph Kaylor"
"Denver Major","2024","2024-04-13","Commerce City, CO, US","Recreational (2.0-3.0)","Top Tier (Glassware)",1,"🍺 Pitcher (1st Place Glassware)","Pitcher","Simply Spiked","Devin Prehn","Taylor Rodgers"
"Denver Major","2024","2024-04-13","Commerce City, CO, US","Recreational (2.0-3.0)","Top Tier (Glassware)",2,"🍻 Tankard (2nd Place Glassware)","Tankard / Cup","Pockets Out","Ian Scott","aidan allen"
"Denver Major","2024","2024-04-13","Commerce City, CO, US","Recreational (2.0-3.0)","Top Tier (Glassware)",3,"🥃 Shot Glass (3rd Place Glassware)","Shot Glass / Horn","Deconstructed Beta","Andres Chaparro","Zach Bull"
"Denver Major","2024","2024-04-13","Commerce City, CO, US","Recreational (2.0-3.0)","Top Tier (Glassware)",4,"4th Place (No Award)","None","Prank stuff","Madison Peddy","Lindsey Englehart"
"Denver Major","2024","2024-04-13","Commerce City, CO, US","Advanced (4.0)","Top Tier (Glassware)",1,"🍺 Pitcher (1st Place Glassware)","Pitcher","First Round Rejects","Jared Hamilton","Ryan Dovel"
"Denver Major","2024","2024-04-13","Commerce City, CO, US","Advanced (4.0)","Top Tier (Glassware)",2,"🍻 Tankard (2nd Place Glassware)","Tankard / Cup","🫡🫡🫡","Jimmy Chung","Mesa Martorell"
"Denver Major","2024","2024-04-13","Commerce City, CO, US","Advanced (4.0)","Top Tier (Glassware)",3,"🥃 Shot Glass (3rd Place Glassware)","Shot Glass / Horn","M&M","Marcus Rice","Michael Rice"
"Denver Major","2024","2024-04-13","Commerce City, CO, US","Advanced (4.0)","Top Tier (Glassware)",4,"4th Place (No Award)","None","PharahMercy Duo","Keira Morton","Adam Prudhomme"
"AZR Southwest Showcase STS Challenger","2024","2024-04-20","Tempe, AZ, US","4.5 Contender","Top Tier (Glassware)",1,"🍺 Pitcher (1st Place Glassware)","Pitcher","Dollar Tree Roundnet","Connor Larsen","Grant Gouger"
"AZR Southwest Showcase STS Challenger","2024","2024-04-20","Tempe, AZ, US","4.5 Contender","Top Tier (Glassware)",2,"🍻 Tankard (2nd Place Glassware)","Tankard / Cup","Humility ","Tyler Stokes","Matt Barlow"
"AZR Southwest Showcase STS Challenger","2024","2024-04-20","Tempe, AZ, US","4.5 Contender","Top Tier (Glassware)",3,"🥃 Shot Glass (3rd Place Glassware)","Shot Glass / Horn","Slippery When Wet","Brooks Anderson","Kyle Ackermann"
"AZR Southwest Showcase STS Challenger","2024","2024-04-20","Tempe, AZ, US","4.5 Contender","Top Tier (Glassware)",4,"4th Place (No Award)","None","BARP Feast or Famine","Clifton Miller","Noah Johnson"
"AZR Southwest Showcase STS Challenger","2024","2024-04-20","Tempe, AZ, US","2.0 - 4.0 Intermediate","Top Tier (Glassware)",1,"🍺 Pitcher (1st Place Glassware)","Pitcher","Practice Safe Sets","Phillip Jensen","Brandon Alatorre"
"AZR Southwest Showcase STS Challenger","2024","2024-04-20","Tempe, AZ, US","2.0 - 4.0 Intermediate","Top Tier (Glassware)",2,"🍻 Tankard (2nd Place Glassware)","Tankard / Cup","Lil' Spikes","Duncan Trudell","Mark Reeves"
"AZR Southwest Showcase STS Challenger","2024","2024-04-20","Tempe, AZ, US","2.0 - 4.0 Intermediate","Top Tier (Glassware)",3,"🥃 Shot Glass (3rd Place Glassware)","Shot Glass / Horn","OVCN duo ","Goose Ramos","Chase Donahue"
"AZR Southwest Showcase STS Challenger","2024","2024-04-20","Tempe, AZ, US","2.0 - 4.0 Intermediate","Top Tier (Glassware)",3,"🥃 Shot Glass (3rd Place Glassware)","Shot Glass / Horn","Rys over Run (GlissTigz)","Ryan Glisson","Ryan Tiggelaar"
"AZR Southwest Showcase STS Challenger","2024","2024-04-20","Tempe, AZ, US","Women's Advanced 4.0+","Top Tier (Glassware)",1,"🍺 Pitcher (1st Place Glassware)","Pitcher","Coastin’","Maddy Morehouse","Joelle Nguyen"
"AZR Southwest Showcase STS Challenger","2024","2024-04-20","Tempe, AZ, US","Women's Advanced 4.0+","Top Tier (Glassware)",2,"🍻 Tankard (2nd Place Glassware)","Tankard / Cup","cool","Shachi Patel","Elle Lowe"
"AZR Southwest Showcase STS Challenger","2024","2024-04-20","Tempe, AZ, US","Women's Advanced 4.0+","Top Tier (Glassware)",3,"🥃 Shot Glass (3rd Place Glassware)","Shot Glass / Horn","Outside Voices","Perrin York","Sebastiani Kim"
"AZR Southwest Showcase STS Challenger","2024","2024-04-20","Tempe, AZ, US","Women's Advanced 4.0+","Top Tier (Glassware)",4,"4th Place (No Award)","None","Slomies","Shaina Berk","Mey Helm"
"AZR Southwest Showcase STS Challenger","2024","2024-04-20","Tempe, AZ, US","Premier 5.0","Top Tier (Glassware)",1,"🍺 Pitcher (1st Place Glassware)","Pitcher","Providence","Connor Nelson","Alex Dluzynski"
"AZR Southwest Showcase STS Challenger","2024","2024-04-20","Tempe, AZ, US","Premier 5.0","Top Tier (Glassware)",2,"🍻 Tankard (2nd Place Glassware)","Tankard / Cup","Blessed","Cade Larson","Luke Mowry"
"AZR Southwest Showcase STS Challenger","2024","2024-04-20","Tempe, AZ, US","Premier 5.0","Top Tier (Glassware)",3,"🥃 Shot Glass (3rd Place Glassware)","Shot Glass / Horn","Bennett/Fernandez","Tyler Fernandez","Christian Bennett"
"AZR Southwest Showcase STS Challenger","2024","2024-04-20","Tempe, AZ, US","Premier 5.0","Top Tier (Glassware)",3,"🥃 Shot Glass (3rd Place Glassware)","Shot Glass / Horn","Espinola/Leung","Eddy Leung","Malachi Espinola"
"AZR Southwest Showcase STS Challenger","2024","2024-04-20","Tempe, AZ, US","Coed 4.5+ Expert","Top Tier (Glassware)",1,"🍺 Pitcher (1st Place Glassware)","Pitcher","Nelson / Lowe","Elle Lowe","Connor Nelson"
"AZR Southwest Showcase STS Challenger","2024","2024-04-20","Tempe, AZ, US","Coed 4.5+ Expert","Top Tier (Glassware)",2,"🍻 Tankard (2nd Place Glassware)","Tankard / Cup","Sarah Slurps Sticky Sequoia Sap (take 3)","Sarah Allen","Trevor Barbosa"
"AZR Southwest Showcase STS Challenger","2024","2024-04-20","Tempe, AZ, US","Coed 4.5+ Expert","Top Tier (Glassware)",3,"🥃 Shot Glass (3rd Place Glassware)","Shot Glass / Horn","Flotato","Maddy Morehouse","Nick Wideman"
"AZR Southwest Showcase STS Challenger","2024","2024-04-20","Tempe, AZ, US","Coed 4.5+ Expert","Top Tier (Glassware)",4,"4th Place (No Award)","None","Fowl Panda","Amanda Wang","Kyle Fowler"
"USAR Midwest Regionals hosted by Illinois Roundnet","2024","2024-04-27","Huntley, IL, US","5.0+ Men's","Lower Division (Medals)",1,"🥇 Gold Medal","None","Finocchi/Model","Max Model","Gabriel Finocchi"
"USAR Midwest Regionals hosted by Illinois Roundnet","2024","2024-04-27","Huntley, IL, US","5.0+ Men's","Lower Division (Medals)",2,"🥈 Silver Medal","None","Kingdom Come","Grant Klapwijk","Matthew Cole"
"USAR Midwest Regionals hosted by Illinois Roundnet","2024","2024-04-27","Huntley, IL, US","5.0+ Men's","Lower Division (Medals)",3,"🥉 Bronze Medal","None","TRP Spotless","Joe Bondi","Ryan Gross"
"USAR Midwest Regionals hosted by Illinois Roundnet","2024","2024-04-27","Huntley, IL, US","5.0+ Men's","Lower Division (Medals)",4,"4th Place (No Award)","None","Sparky Sparky Boom Men","Sunny Gu","Connor Nelson"
"USAR Midwest Regionals hosted by Illinois Roundnet","2024","2024-04-27","Huntley, IL, US","4.0 Open Advanced","Lower Division (Medals)",1,"🥇 Gold Medal","None","Short Kings 👑","Jon Moe","Brady Van Straten"
"USAR Midwest Regionals hosted by Illinois Roundnet","2024","2024-04-27","Huntley, IL, US","4.0 Open Advanced","Lower Division (Medals)",2,"🥈 Silver Medal","None","Aced and Red Pilled","Chandler King","Bruce Peters"
"USAR Midwest Regionals hosted by Illinois Roundnet","2024","2024-04-27","Huntley, IL, US","4.0 Open Advanced","Lower Division (Medals)",3,"🥉 Bronze Medal","None","Padiddle","Joey Hogan","Quad Hogan"
"USAR Midwest Regionals hosted by Illinois Roundnet","2024","2024-04-27","Huntley, IL, US","4.0 Open Advanced","Lower Division (Medals)",4,"4th Place (No Award)","None","Stroke of Genius","Ryan Lechner","Blake Barker"
"Spring Spike Super Major","2024","2024-04-27","Millcreek, UT, US","5.0 Premier","Top Tier (Glassware)",1,"🍺 Pitcher (1st Place Glassware)","Pitcher","The Front End to my Back End","Trey Thompson","Solomon Berry"
"Spring Spike Super Major","2024","2024-04-27","Millcreek, UT, US","5.0 Premier","Top Tier (Glassware)",2,"🍻 Tankard (2nd Place Glassware)","Tankard / Cup","Defense is Dead(ly)","Chandler Hertzler","Tyler Stokes"
"Spring Spike Super Major","2024","2024-04-27","Millcreek, UT, US","5.0 Premier","Top Tier (Glassware)",3,"🥃 Shot Glass (3rd Place Glassware)","Shot Glass / Horn","R.I.P Drop(s)","Jake LeBaron","Grant Marriott"
"Spring Spike Super Major","2024","2024-04-27","Millcreek, UT, US","5.0 Premier","Top Tier (Glassware)",4,"4th Place (No Award)","None","Unreal","Spencer Escujuri","Harold Mancia"
"Spring Spike Super Major","2024","2024-04-27","Millcreek, UT, US","4.5 Elite","Top Tier (Glassware)",1,"🍺 Pitcher (1st Place Glassware)","Pitcher","Krunkle","Nick Zirkle","Emery Krulish"
"Spring Spike Super Major","2024","2024-04-27","Millcreek, UT, US","4.5 Elite","Top Tier (Glassware)",2,"🍻 Tankard (2nd Place Glassware)","Tankard / Cup","GETZAPPED","Steven Goodrich","Lazarus Shettell"
"Spring Spike Super Major","2024","2024-04-27","Millcreek, UT, US","4.5 Elite","Top Tier (Glassware)",3,"🥃 Shot Glass (3rd Place Glassware)","Shot Glass / Horn","Double Fault","Luke Cook","Nathan Avalos"
"Spring Spike Super Major","2024","2024-04-27","Millcreek, UT, US","4.5 Elite","Top Tier (Glassware)",4,"4th Place (No Award)","None","Wheaties Box Rejects","Seth Lee","Josh Freeman"
"Spring Spike Super Major","2024","2024-04-27","Millcreek, UT, US","4.0 Advanced","Top Tier (Glassware)",1,"🍺 Pitcher (1st Place Glassware)","Pitcher","Knights of the Roundnet","Todd Tuttle","Ryan Kartchner"
"Spring Spike Super Major","2024","2024-04-27","Millcreek, UT, US","4.0 Advanced","Top Tier (Glassware)",2,"🍻 Tankard (2nd Place Glassware)","Tankard / Cup","TUESDAY TUESDAY","Gabriel Robbins","cage johnson"
"Spring Spike Super Major","2024","2024-04-27","Millcreek, UT, US","4.0 Advanced","Top Tier (Glassware)",3,"🥃 Shot Glass (3rd Place Glassware)","Shot Glass / Horn","Grandma's Favorite","Blake Lawrence","Francisco Marquez"
"Spring Spike Super Major","2024","2024-04-27","Millcreek, UT, US","4.0 Advanced","Top Tier (Glassware)",4,"4th Place (No Award)","None","No Name","Braydon Hunt","Toby Hunt"
"Spring Spike Super Major","2024","2024-04-27","Millcreek, UT, US","3.0 Recreational","Top Tier (Glassware)",1,"🍺 Pitcher (1st Place Glassware)","Pitcher","Gilly Soose","Luke Gonzalez","Ethan Chudleigh"
"Spring Spike Super Major","2024","2024-04-27","Millcreek, UT, US","3.0 Recreational","Top Tier (Glassware)",2,"🍻 Tankard (2nd Place Glassware)","Tankard / Cup","CGH","Colton Hintz","Dylan Ladds"
"Spring Spike Super Major","2024","2024-04-27","Millcreek, UT, US","3.0 Recreational","Top Tier (Glassware)",3,"🥃 Shot Glass (3rd Place Glassware)","Shot Glass / Horn","Los Pendejos","Jake Erickson","Cooper Crabtree"
"Spring Spike Super Major","2024","2024-04-27","Millcreek, UT, US","3.0 Recreational","Top Tier (Glassware)",4,"4th Place (No Award)","None","Como Se Juega","Adam Brueck","Nathan Brueck"
"The Los Angeles Grand Slam - Spikeball Challenger 2024","2024","2024-05-04","Los Angeles, CA, US","Contender 4.5","Top Tier (Glassware)",1,"🍺 Pitcher (1st Place Glassware)","Pitcher","Kyler/Caleb","Kyler Cote","Caleb Jarrett"
"The Los Angeles Grand Slam - Spikeball Challenger 2024","2024","2024-05-04","Los Angeles, CA, US","Contender 4.5","Top Tier (Glassware)",2,"🍻 Tankard (2nd Place Glassware)","Tankard / Cup","Steak and Rice","Dylan Medveal","Pio Clavecilla"
"The Los Angeles Grand Slam - Spikeball Challenger 2024","2024","2024-05-04","Los Angeles, CA, US","Contender 4.5","Top Tier (Glassware)",3,"🥃 Shot Glass (3rd Place Glassware)","Shot Glass / Horn","IND - Das/Dua","vibhor dua","sumer dass"
"The Los Angeles Grand Slam - Spikeball Challenger 2024","2024","2024-05-04","Los Angeles, CA, US","Contender 4.5","Top Tier (Glassware)",4,"4th Place (No Award)","None","Cookin & Smokin","Sougat Pradhan","Jason Xu"
"The Los Angeles Grand Slam - Spikeball Challenger 2024","2024","2024-05-04","Los Angeles, CA, US","Womens 4.0+","Top Tier (Glassware)",1,"🍺 Pitcher (1st Place Glassware)","Pitcher","Gapcha","Janet Leung","Dianne Fonseca"
"The Los Angeles Grand Slam - Spikeball Challenger 2024","2024","2024-05-04","Los Angeles, CA, US","Womens 4.0+","Top Tier (Glassware)",2,"🍻 Tankard (2nd Place Glassware)","Tankard / Cup","Cosmic","Sebastiani Kim","Joelle Nguyen"
"The Los Angeles Grand Slam - Spikeball Challenger 2024","2024","2024-05-04","Los Angeles, CA, US","Womens 4.0+","Top Tier (Glassware)",3,"🥃 Shot Glass (3rd Place Glassware)","Shot Glass / Horn","More Savage","Kirstie Savage","Maddy Morehouse"
"The Los Angeles Grand Slam - Spikeball Challenger 2024","2024","2024-05-04","Los Angeles, CA, US","Womens 4.0+","Top Tier (Glassware)",4,"4th Place (No Award)","None","norcal girlies","Malia Wanderer","Elle Lowe"
"The Los Angeles Grand Slam - Spikeball Challenger 2024","2024","2024-05-04","Los Angeles, CA, US","Mixed 4.0+","Top Tier (Glassware)",1,"🍺 Pitcher (1st Place Glassware)","Pitcher","Pizookie","Perrin York","Kieran Rose"
